date,C1,C2,C3,C4,C5
1889-01-01,163.5,162.1,162.7,161.6,161.1
1889-02-01,132.7,130.8,131.3,130.6,130.3
1889-03-01,106.7,105.3,105.9,105.8,105.8
1889-04-01,56.3,55.8,55.9,56.9,57.4
1889-05-01,32.2,31.8,31.7,32.1,32.1
1889-06-01,20,20,20.1,20,19.9
1889-07-01,22.8,22.9,22.7,22.7,22.9
1889-08-01,44,43.4,43.7,44.8,44.9
1889-09-01,67.9,68,68.1,68.7,68.6
1889-10-01,105.5,104.8,105.1,105.2,105.1
1889-11-01,131.7,130.4,131.5,132.1,132.1
1889-12-01,160.1,159.2,159.8,159.9,159.7
1890-01-01,180.4,178.8,179.3,178.6,178.6
1890-02-01,142.6,141.3,141.9,141.1,141.1
1890-03-01,109.8,108.4,109.2,109.2,109.4
1890-04-01,62.7,62.3,62.6,63,63.5
1890-05-01,32.2,31.8,32,32.7,32.5
1890-06-01,20.5,20.2,20.1,19.7,19.7
1890-07-01,22.7,22.4,22.6,23.1,23.3
1890-08-01,40.9,40.7,40.7,41.6,42
1890-09-01,67.6,66.8,67.5,68.2,68.5
1890-10-01,101.6,101.1,101.3,101.4,101.9
1890-11-01,129.8,128.8,129.2,129.6,129.6
1890-12-01,155.4,154.1,154.9,154.7,154.7
1891-01-01,170,168.8,169,168.2,167.6
1891-02-01,134.9,133.2,134.1,132.8,132.9
1891-03-01,110.2,108.8,109.7,109.5,109.4
1891-04-01,58.9,58.6,58.9,59.2,59.5
1891-05-01,32.8,32.7,32.6,32.9,33
1891-06-01,18.2,18.5,18.4,18.7,18.8
1891-07-01,23.4,23.2,23.3,23.7,24
1891-08-01,41.3,41.8,42.1,44.5,44.8
1891-09-01,73,72.5,73,74.1,74
1891-10-01,103.8,103,103,103.4,103.5
1891-11-01,133.8,133.2,133.4,133.5,133.6
1891-12-01,159.5,158.2,158.7,159,158.9
1892-01-01,163.5,162.3,162.6,161.4,161.2
1892-02-01,143.1,141.4,141.6,141.3,141
1892-03-01,106.8,105.1,105.6,105.4,105.9
1892-04-01,57.4,56.5,56.9,57,57.3
1892-05-01,30.8,30.3,30.6,30.8,30.9
1892-06-01,18.5,18.6,18.5,19,18.9
1892-07-01,23.4,23.3,23.3,23.7,24
1892-08-01,42.6,42.3,42.7,43.6,43.9
1892-09-01,69.7,69.4,69.9,71.2,71.4
1892-10-01,105.3,104.3,104.7,104.7,104.8
1892-11-01,135.9,135.2,135.5,135.7,135.9
1892-12-01,155.2,153.9,154.8,154.8,154.7
1893-01-01,163,161.4,162,161,160.7
1893-02-01,135.7,134.1,135,134,133.7
1893-03-01,108,106.8,107.1,107,107.3
1893-04-01,58.9,58,58.7,59.1,59.5
1893-05-01,32.6,32.5,32.3,32.1,32.1
1893-06-01,19.6,19.4,19.2,19.4,19.7
1893-07-01,23.5,23,23.2,23.8,24.2
1893-08-01,42.7,42.6,43.3,44.1,44.2
1893-09-01,70.2,69.9,70.2,71.1,71.2
1893-10-01,113.1,112.6,112.7,112.9,113.1
1893-11-01,133,132.2,132.5,132.4,132.7
1893-12-01,165.9,164.7,165.5,165.6,165.6
1894-01-01,172.1,170.4,171,169.9,169.3
1894-02-01,137.1,135.4,135.7,135,134.8
1894-03-01,108.1,107.1,107.6,107.5,107.6
1894-04-01,61,60.6,61,61.8,61.9
1894-05-01,31.3,31,31.5,32.7,32.8
1894-06-01,20.2,20,20.2,20.7,21
1894-07-01,22.7,22.6,22.8,22.9,23.5
1894-08-01,43.3,43.2,43.4,44.2,44.5
1894-09-01,68.5,68.3,68.5,69.1,69.4
1894-10-01,106.7,106.1,106.3,106.8,106.9
1894-11-01,136.1,135.4,135.6,136.3,136.1
1894-12-01,161.6,160.4,161.1,160.8,160.5
1895-01-01,173.6,172.2,173.1,171.9,171.7
1895-02-01,141.8,140.4,141,140.2,140.4
1895-03-01,106.4,105.3,105.6,105.7,105.9
1895-04-01,62.2,61.7,62,61.9,62.4
1895-05-01,30.7,30.4,30.6,31.6,31.9
1895-06-01,19.2,19,18.9,19.5,19.8
1895-07-01,23.4,23.2,23.3,23.6,23.9
1895-08-01,43.2,43,43,44.2,44.5
1895-09-01,71,71,70.9,71.9,72.1
1895-10-01,118.3,117.5,117.9,118.2,118.6
1895-11-01,141.7,140.9,141.2,141.6,141.9
1895-12-01,168.5,165.8,167.6,168.4,168.4
1896-01-01,169.2,167.5,168,166.9,166.8
1896-02-01,133.2,132,132.1,131.8,131.7
