date,C1,C2,C3,C4,C5
1889-01-01,80.23,69.389,76.514,62.464,49.674
1889-02-01,41.512,50.465,46.574,49.163,35.359
1889-03-01,13.109,10.145,9.852,6.07,1.907
1889-04-01,111.622,131.174,131.475,126.035,82.131
1889-05-01,94.678,83.093,82.306,50.065,38.2
1889-06-01,161.45,121.893,147.838,92.42,104.106
1889-07-01,49.131,51.734,70.487,43.144,40.206
1889-08-01,93.209,79.328,87.025,52.281,48.83
1889-09-01,56.299,47.957,56.092,45.031,42.127
1889-10-01,81.801,100.151,101.786,87.48,99.034
1889-11-01,66.695,54.496,59.065,55.985,47.801
1889-12-01,28.001,37.17,29.103,26.564,21.506
1890-01-01,46.099,27.506,35.593,42.827,40.812
1890-02-01,6.851,12.437,15.056,17.036,18.071
1890-03-01,49.727,63.896,58.692,57.523,37.762
1890-04-01,33.818,21.219,24.24,26.365,26.613
1890-05-01,44.329,50.161,45.98,41.539,34.075
1890-06-01,64.886,51.595,52.623,50.955,51.056
1890-07-01,67.237,53.817,59.59,47.205,49.3
1890-08-01,94.253,84.326,85.842,61.688,70.364
1890-09-01,76.545,95.903,90.849,75.116,70.191
1890-10-01,74.679,66.88,72.533,68.874,75.154
1890-11-01,104.662,99.789,111.967,94.767,73.897
1890-12-01,47.952,45.072,47.975,52.964,45.388
1891-01-01,17.768,22.104,24.091,17.685,13.332
1891-02-01,2.916,1.646,4.566,4.705,1.761
1891-03-01,72.858,47.671,40.599,29.232,21.095
1891-04-01,39.367,61.747,53.697,40.171,24.018
1891-05-01,61.442,40.831,53.093,40.132,44.688
1891-06-01,73.185,74.125,78.256,77.049,74.522
1891-07-01,113.07,122.715,133.624,85.924,33.915
1891-08-01,80.443,102.557,95.3,63.87,20.045
1891-09-01,61.969,60.154,60.88,49.945,50.189
1891-10-01,111.945,108.668,117.768,91.386,81.352
1891-11-01,68.523,65.638,68.843,62.801,50.962
1891-12-01,60.08,54.789,60.257,45.39,51.357
1892-01-01,11.916,15.65,16.287,14.484,12.532
1892-02-01,9.535,8.674,10.031,7.406,7.167
1892-03-01,47.152,56.698,53.341,55.882,48.794
1892-04-01,153.364,138.392,167.267,139.94,124.287
1892-05-01,95.29,79.755,89.912,66.555,45.132
1892-06-01,88.724,62.633,74.1,40.606,35.886
1892-07-01,58.368,44.669,62.795,37.939,34.686
1892-08-01,99.105,92.821,105.045,61.901,54.97
1892-09-01,74.083,72.371,73.507,59.292,47.572
1892-10-01,70.282,83.9,77.257,66.422,49.087
1892-11-01,95.04,78.935,91.545,66.942,63.709
1892-12-01,65.314,74.037,74.655,72.052,51.257
1893-01-01,13.694,12.393,13.915,9.791,2.526
1893-02-01,6.523,7.121,9.787,11.089,6.615
1893-03-01,50.869,66.992,53.468,58.603,28.453
1893-04-01,94.674,93.853,106.927,77.632,77.101
1893-05-01,138.941,128.382,135.054,109.101,84.04
1893-06-01,83.248,55.799,66.009,49.273,48.968
1893-07-01,68.253,54.694,66.023,46.577,38.864
1893-08-01,87.716,89.79,99.33,69.014,46.396
1893-09-01,101.565,115.054,119.568,95.605,89.285
1893-10-01,132.869,123.903,133.949,104.818,91.23
1893-11-01,95.227,100.428,93.874,95.791,70.847
1893-12-01,32.396,48.125,44.676,40.554,31.249
1894-01-01,14.977,18.913,21.785,19.734,23.507
